timestamp_utc,is_live,viewer_count,follower_count,chatter_count,title,game,started_at,stream_id
2026-08-18T09:05:00Z,true,16,700,3,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:10:00Z,true,64,700,5,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:15:00Z,true,105,700,7,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:20:00Z,true,142,700,9,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:25:00Z,true,174,700,9,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:30:00Z,true,180,700,12,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:35:00Z,true,164,700,11,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:40:00Z,true,138,700,11,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:45:00Z,true,63,700,6,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:50:00Z,true,40,700,4,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-18T09:05:00Z,319000000001
2026-08-18T09:55:00Z,false,,700,2,,,,
2026-08-18T10:00:00Z,false,,701,2,,,,
2026-08-18T10:05:00Z,false,,701,2,,,,
2026-08-18T10:10:00Z,false,,701,2,,,,
2026-08-18T10:15:00Z,false,,702,2,,,,
2026-08-18T10:20:00Z,false,,702,2,,,,
2026-08-19T04:50:00Z,true,35,701,4,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T04:55:00Z,true,137,701,11,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:00:00Z,true,222,701,14,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:05:00Z,true,281,701,14,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:10:00Z,true,322,701,18,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:15:00Z,true,359,701,23,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:20:00Z,true,373,701,22,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
2026-08-19T05:25:00Z,true,412,701,25,"Sample Stream: Park Day, Rides, Music, and More!",IRL,2026-08-19T04:50:00Z,319997409116
